CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
DOMESTIC VIOLENCE,02/24/2020 04:00:00 AM,20-010578,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,31X,00 HEGENBERGER RD,Oakland,CA,"00 HEGENBERGER RD
Oakland, CA"
PETTY THEFT,04/21/2020 09:00:00 AM,20-020535,THEFT,02Y,1500 8TH ST,Oakland,CA,"1500 8TH ST
Oakland, CA
(37.806607, -122.295624)"
BURG - COMMERCIAL,04/21/2020 04:00:00 PM,20-020377,BURGLARY-FORCIBLE ENTRY,02X,400 MARKET ST,Oakland,CA,"400 MARKET ST
Oakland, CA
(37.800793, -122.283452)"
OTHER,03/09/2020 03:18:00 PM,20-013464,INFLICT INJURY UPON CHILD (AMENDED),12X,4800 LAWTON AV,Oakland,CA,"4800 LAWTON AV
Oakland, CA
(37.834618, -122.257237)"
DOMESTIC VIOLENCE,02/24/2020 06:15:00 AM,20-010601,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,77X,1300 PULLMAN WY,Oakland,CA,"1300 PULLMAN WY
Oakland, CA"
,04/23/2020 09:09:00 PM,20-020683,ANNOYING REPEATED PHONE CALLS:RESIDENCE,04X,100 17TH ST,Oakland,CA,"100 17TH ST
Oakland, CA
(37.803698, -122.261185)"
VANDALISM,04/10/2020 07:10:00 AM,20-908488,VANDALISM,77X,7100 NORFOLK ROAD,Oakland,CA,"7100 NORFOLK ROAD
Oakland, CA"
GRAND THEFT,03/20/2020 06:00:00 PM,20-015693,GRAND THEFT,22Y,4300 TERRABELLA WY,Oakland,CA,"4300 TERRABELLA WY
Oakland, CA
(37.797275, -122.180559)"
ROBBERY,02/07/2020 03:15:00 PM,20-007454,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",14X,700 GRAND AV,Oakland,CA,"700 GRAND AV
Oakland, CA
(37.810701, -122.248442)"
MISDEMEANOR ASSAULT,02/06/2020 11:21:00 PM,20-007310,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,19X,1700 E 12TH ST,Oakland,CA,"1700 E 12TH ST
Oakland, CA
(37.786892, -122.243918)"
,04/23/2020 10:40:00 PM,20-020688,BATTERY,07X,100 24TH ST,Oakland,CA,"100 24TH ST
Oakland, CA"
VANDALISM,01/24/2020 09:00:00 PM,20-904753,VANDALISM,04X,500 17TH ST,Oakland,CA,"500 17TH ST
Oakland, CA
(37.806915, -122.270726)"
,04/27/2020 06:00:00 PM,20-021387,VEHICLE THEFT - AUTO,17Y,IFO 2433 12TH AV,Oakland,CA,"IFO 2433 12TH AV
Oakland, CA"
FELONY ASSAULT,03/22/2020 12:22:00 AM,20-015636,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,29X,6500 BANCROFT AV,Oakland,CA,"6500 BANCROFT AV
Oakland, CA
(37.769938, -122.184401)"
,04/28/2020 08:28:00 PM,20-021490,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,23X,600 HIGH ST,Oakland,CA,"600 HIGH ST
Oakland, CA
(37.76763, -122.22112)"
RECOVERED O/S STOLEN,04/04/2020 09:23:00 AM,20-017667,POSS STOLEN VEH/VES/ETC,02X,1000 8TH ST,Oakland,CA,"1000 8TH ST
Oakland, CA
(37.804078, -122.284485)"
OTHER,04/27/2020 08:07:00 PM,20-021313,SC UNEXPLAINED DEATH,17X,1600 4TH AV,Oakland,CA,"1600 4TH AV
Oakland, CA
(37.797881, -122.252709)"
STOLEN VEHICLE,04/13/2020 03:00:00 PM,20-019302,VEHICLE THEFT - AUTO,14Y,800 VERMONT ST,Oakland,CA,"800 VERMONT ST
Oakland, CA
(37.813597, -122.245264)"
,04/27/2020 11:21:00 PM,20-021345,SC CARJACKING - FIREARM,19X,1800 BLOCK OF INTERNATIONAL,Oakland,CA,"1800 BLOCK OF INTERNATIONAL
Oakland, CA
(37.786967, -122.241898)"
FELONY ASSAULT,05/10/2020 03:32:00 AM,20-023340,VEHICLE THEFT - AUTO,31Z,9800 PEARMAIN ST,Oakland,CA,"9800 PEARMAIN ST
Oakland, CA
(37.738233, -122.18081)"
OTHER,05/14/2020 06:13:00 PM,20-024122,CONTEMPT OF COURT:VIOLATE PROTECTIVE ORDER/ETC,32Y,1900 WARNER AV,Oakland,CA,"1900 WARNER AV
Oakland, CA
(37.745679, -122.164174)"
,04/30/2020 12:00:00 PM,20-021824,VEHICLE THEFT - AUTO,17Y,1300 BLK E 28TH ST,Oakland,CA,"1300 BLK E 28TH ST
Oakland, CA
(37.7992, -122.235368)"
BURG - RESIDENTIAL,03/21/2020 03:00:00 PM,20-015608,ATTEMPTED BURGLARY,17X,2000 12TH AV,Oakland,CA,"2000 12TH AV
Oakland, CA
(37.79475, -122.242243)"
STOLEN VEHICLE,02/27/2020 06:00:00 PM,20-011665,VEHICLE THEFT - AUTO,31Y,100 98TH AV,Oakland,CA,"100 98TH AV
Oakland, CA
(37.728129, -122.197428)"
,05/14/2020 01:15:00 AM,20-023990,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",20X,1200 BLOCK OF 29TH AVE,Oakland,CA,"1200 BLOCK OF 29TH AVE
Oakland, CA
(37.778412, -122.229972)"
DOMESTIC VIOLENCE,04/13/2020 07:18:00 PM,20-019070,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,25Y,7600 SURREY LN,Oakland,CA,"7600 SURREY LN
Oakland, CA
(37.779804, -122.143711)"
,05/07/2020 12:00:00 PM,20-023947,VEHICLE THEFT - AUTO,06X,900 MACARTHUR BLVD,Oakland,CA,"900 MACARTHUR BLVD
Oakland, CA
(37.806227, -122.238769)"
WEAPONS,04/14/2020 04:32:00 AM,20-019127,FELON/ADDICT/POSSESS/OWN/ETC FIREARM,02X,7TH ST & MARKET ST,Oakland,CA,"7TH ST & MARKET ST
Oakland, CA
(37.802679, -122.282818)"
FELONY ASSAULT,05/10/2020 03:32:00 AM,20-023340,POSS STOLEN VEH/VES/ETC,31Z,9800 PEARMAIN ST,Oakland,CA,"9800 PEARMAIN ST
Oakland, CA
(37.738233, -122.18081)"
STOLEN VEHICLE,04/20/2020 05:00:00 PM,20-020611,VEHICLE THEFT - AUTO,23X,E 17TH ST & 34TH AV,Oakland,CA,"E 17TH ST & 34TH AV
Oakland, CA
(37.780284, -122.222025)"
FELONY ASSAULT,04/20/2020 09:49:00 PM,20-020163,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,25X,4100 BAYO ST,Oakland,CA,"4100 BAYO ST
Oakland, CA
(37.791273, -122.191892)"
GRAND THEFT,04/07/2020 07:05:00 PM,20-908228,GRAND THEFT,16Y,4300 LEACH AV,Oakland,CA,"4300 LEACH AV
Oakland, CA
(37.808294, -122.222741)"
,03/13/2020 10:56:00 PM,20-014342,THEFT,20X,29TH AV & GLASCOCK ST,Oakland,CA,"29TH AV & GLASCOCK ST
Oakland, CA
(37.772782, -122.235368)"
,05/07/2020 12:01:00 AM,20-023353,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,32Y,9800 MACARTHUR BLVD,Oakland,CA,"9800 MACARTHUR BLVD
Oakland, CA
(37.749533, -122.158613)"
ROBBERY,04/22/2020 10:17:00 PM,20-020511,CARJACKING - STRONGARM,15X,1900 LAKESHORE AV,Oakland,CA,"1900 LAKESHORE AV
Oakland, CA
(37.802387, -122.254098)"
FORCIBLE RAPE,05/11/2020 02:00:00 AM,20-023447,KIDNAPPING,35X,84TH AV & MACARTHUR BLVD,Oakland,CA,"84TH AV & MACARTHUR BLVD
Oakland, CA
(37.761527, -122.163874)"
RECOVERED O/S STOLEN,04/20/2020 07:00:00 PM,20-020137,VEHICLE THEFT - AUTO,30Y,2900 PARKER AV,Oakland,CA,"2900 PARKER AV
Oakland, CA
(37.766992, -122.166275)"
BURG - COMMERCIAL,01/20/2020 11:00:00 PM,20-003858,BURGLARY-FORCIBLE ENTRY,20X,2400 FOOTHILL BLVD,Oakland,CA,"2400 FOOTHILL BLVD
Oakland, CA
(37.784768, -122.232349)"
ROBBERY,04/30/2020 05:30:00 PM,20-021816,ROBBERY-KNIFE OR CUTTING INSTRUMENT,20X,2700 E 12TH ST,Oakland,CA,"2700 E 12TH ST
Oakland, CA
(37.779355, -122.231977)"
,03/16/2020 12:20:00 AM,20-014681,ROBBERY-FIREARM,23X,FRUITVALE AV & INTERNATIONAL BLVD,Oakland,CA,"FRUITVALE AV & INTERNATIONAL BLVD
Oakland, CA
(37.777616, -122.22584)"
BURG - AUTO,01/24/2020 07:00:00 PM,20-905057,BURGLARY-AUTO,77X,WEBSTER ST,Oakland,CA,"WEBSTER ST
Oakland, CA"
,04/28/2020 06:00:00 PM,20-021478,VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE W/PR,19X,700 11TH ST.,Oakland,CA,"700 11TH ST.
Oakland, CA
(37.805186, -122.279927)"
FRAUD,02/26/2020 08:30:00 AM,20-908580,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,05X,18TH ST & WEST ST,Oakland,CA,"18TH ST & WEST ST
Oakland, CA
(37.810249, -122.277828)"
GRAND THEFT,04/06/2020 12:30:00 PM,20-908151,THEFT,22X,3500 MAY CT,Oakland,CA,"3500 MAY CT
Oakland, CA
(37.800115, -122.215012)"
WEAPONS,04/14/2020 04:32:00 AM,20-019127,CARRY LOADED FIREARM:UNLAWFUL/PROHIBATED POSSESSION,02X,7TH ST & MARKET ST,Oakland,CA,"7TH ST & MARKET ST
Oakland, CA
(37.802679, -122.282818)"
MISDEMEANOR ASSAULT,02/21/2020 07:00:00 AM,20-010182,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,28X,3100 HIGH ST,Oakland,CA,"3100 HIGH ST
Oakland, CA
(37.784691, -122.199955)"
PETTY THEFT,02/10/2020 11:00:00 AM,20-008953,THEFT,32Y,1900 WARNER AV,Oakland,CA,"1900 WARNER AV
Oakland, CA
(37.745679, -122.164174)"
DOMESTIC VIOLENCE,04/13/2020 02:50:00 AM,20-018965,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,26X,E 12TH ST & HIGH ST,Oakland,CA,"E 12TH ST & HIGH ST
Oakland, CA
(37.771413, -122.216094)"
VANDALISM,04/06/2020 03:00:00 AM,20-017912,VANDALISM,20X,2600 E 16TH ST,Oakland,CA,"2600 E 16TH ST
Oakland, CA
(37.783062, -122.231005)"
GRAND THEFT,12/20/2019 02:10:00 PM,20-905064,GRAND THEFT,16Y,1500 EXCELSIOR AV,Oakland,CA,"1500 EXCELSIOR AV
Oakland, CA
(37.802299, -122.225647)"
MISDEMEANOR ASSAULT,03/02/2020 12:33:00 PM,20-012058,BATTERY,21X,2400 E 28TH ST,Oakland,CA,"2400 E 28TH ST
Oakland, CA
(37.794607, -122.22431)"
ROBBERY,02/28/2020 02:00:00 PM,20-011531,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",19X,1200 E 12TH ST,Oakland,CA,"1200 E 12TH ST
Oakland, CA
(37.789826, -122.248871)"
NARCOTICS,05/06/2020 04:13:00 PM,20-022067,MFG/IMPORT/ETC SHORT BARRELED RIFLE,19X,1800 E 15TH ST,Oakland,CA,"1800 E 15TH ST
Oakland, CA
(37.787925, -122.241298)"
CURFEW & LOITERING,05/06/2020 12:38:00 PM,20-022794,TRESPASS:OCCUPY PROPERTY W/O CONSENT,27X,4700 CONGRESS AV,Oakland,CA,"4700 CONGRESS AV
Oakland, CA
(37.778567, -122.204569)"
STOLEN VEHICLE,04/26/2020 04:35:00 AM,20-021045,VEHICLE THEFT - AUTO,34X,9500 SUNNYSIDE ST,Oakland,CA,"9500 SUNNYSIDE ST
Oakland, CA
(37.750009, -122.164461)"
,05/13/2020 06:11:00 PM,20-023918,CONTEMPT OF COURT:VIOLATE PROTECTIVE ORDER/ETC,24Y,3500 PENNIMAN AVE,Oakland,CA,"3500 PENNIMAN AVE
Oakland, CA
(37.789995, -122.206721)"
,03/12/2020 08:00:00 PM,20-014798,BURGLARY-FORCIBLE ENTRY,08X,2300 BROADWAY,Oakland,CA,"2300 BROADWAY
Oakland, CA
(37.812399, -122.266077)"
WEAPONS,03/08/2020 06:52:00 PM,20-013240,"SIMPLE POSSESSION OF HEROIN, COCAINE, LISTED CONTROLLED SUBSTANCES",33X,8400 E ST,Oakland,CA,"8400 E ST
Oakland, CA
(37.751063, -122.184327)"
BURG - AUTO,03/11/2020 06:30:00 PM,20-907010,BURGLARY-AUTO,12Y,COLLEGE AV & CHABOT RD,Oakland,CA,"COLLEGE AV & CHABOT RD
Oakland, CA
(37.847123, -122.25204)"
DOMESTIC VIOLENCE,03/21/2020 10:18:00 PM,20-015624,VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE,35X,9400 MACARTHUR BLVD,Oakland,CA,"9400 MACARTHUR BLVD
Oakland, CA
(37.752905, -122.160314)"
ROBBERY,04/03/2020 04:00:00 PM,20-017572,ROBBERY-OTHER DANGEROUS WEAPON,21Y,3000 MAPLE AV,Oakland,CA,"3000 MAPLE AV
Oakland, CA
(37.791225, -122.210907)"
PETTY THEFT,03/20/2020 07:00:00 AM,20-015611,THEFT,06X,600 29TH ST,Oakland,CA,"600 29TH ST
Oakland, CA
(37.819039, -122.270693)"
GRAND THEFT,03/21/2020 11:30:00 AM,20-015604,THEFT,15X,100 ATHOL AV,Oakland,CA,"100 ATHOL AV
Oakland, CA
(37.800953, -122.253108)"
OTHER,03/22/2020 08:28:00 AM,20-015656,SHOPLIFTING-COMMERCIAL ESTABLISHMENT WITH INTENT WHERE VALUE DOES NOT EXCEED $950,20X,3000 E 9TH ST,Oakland,CA,"3000 E 9TH ST
Oakland, CA
(37.774568, -122.231174)"
STOLEN VEHICLE,04/06/2020 05:30:00 PM,20-908177,ATTEMPT VEHICLE THEFT-AUTO,01X,200 3RD ST,Oakland,CA,"200 3RD ST
Oakland, CA
(37.794649, -122.270557)"
VANDALISM,04/16/2020 01:00:00 AM,20-020400,VANDALISM:DAMAGE PROPERTY,25X,3800 HIGH ST,Oakland,CA,"3800 HIGH ST
Oakland, CA
(37.789211, -122.191023)"
,03/14/2020 12:00:00 PM,20-014428,BATTERY,24Y,3500 ALLENDALE AV,Oakland,CA,"3500 ALLENDALE AV
Oakland, CA
(37.789002, -122.208629)"
STOLEN VEHICLE,04/15/2020 12:00:00 PM,20-020252,VEHICLE THEFT - AUTO,05X,700 16TH ST,Oakland,CA,"700 16TH ST
Oakland, CA
(37.807781, -122.275711)"
STOLEN VEHICLE,04/28/2020 07:56:00 AM,20-010931,POSS STOLEN VEH/VES/ETC,26X,IFO 711 INDEPENDENT RD,Oakland,CA,"IFO 711 INDEPENDENT RD
Oakland, CA"
,03/13/2020 11:00:00 PM,20-014415,VEHICLE THEFT - AUTO,02X,1100 12TH ST,Oakland,CA,"1100 12TH ST
Oakland, CA
(37.807907, -122.2858)"
PETTY THEFT,01/28/2020 08:00:00 PM,20-007359,THEFT,04X,18TH ST & JEFFERSON ST,Oakland,CA,"18TH ST & JEFFERSON ST
Oakland, CA
(37.808197, -122.273246)"
PETTY THEFT,03/17/2020 08:00:00 PM,20-015387,THEFT,05X,2200 SAN PABLO AV,Oakland,CA,"2200 SAN PABLO AV
Oakland, CA
(37.812471, -122.273819)"
DOMESTIC VIOLENCE,05/09/2020 03:10:00 PM,20-023259,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,31Y,00 AIRPORT ACCESS RD,Oakland,CA,"00 AIRPORT ACCESS RD
Oakland, CA"
,04/17/2020 05:00:00 PM,20-019683,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,32X,900 106TH AV,Oakland,CA,"900 106TH AV
Oakland, CA
(37.735074, -122.173813)"
BURG - AUTO,02/05/2020 08:30:00 PM,20-904080,BURGLARY-AUTO,20X,300 23RD AV,Oakland,CA,"300 23RD AV
Oakland, CA
(37.773198, -122.235897)"
,03/14/2020 12:22:00 AM,20-014361,ARSON:INHABITED STRUCTURE/PROPERTY,05Y,1600 PERALTA ST,Oakland,CA,"1600 PERALTA ST
Oakland, CA
(37.812922, -122.292693)"
,01/03/2000 08:50:00 PM,20-014329,SC UNEXPLAINED DEATH,30Y,2500 76TH AV,Oakland,CA,"2500 76TH AV
Oakland, CA
(37.764724, -122.17463)"
DOMESTIC VIOLENCE,03/12/2020 10:47:00 PM,20-014154,VANDALISM,33X,1200 87TH AV,Oakland,CA,"1200 87TH AV
Oakland, CA
(37.750214, -122.179425)"
VANDALISM,03/21/2020 06:00:00 PM,20-016124,VANDALISM-$400+,08X,3600 WEBSTER ST,Oakland,CA,"3600 WEBSTER ST
Oakland, CA
(37.823687, -122.262027)"
BURG - AUTO,04/04/2020 03:20:00 PM,20-908184,BURGLARY-AUTO,16Y,1600 VISTA ST,Oakland,CA,"1600 VISTA ST
Oakland, CA
(37.806789, -122.216426)"
STOLEN VEHICLE,03/12/2020 11:00:00 PM,20-014167,VEHICLE THEFT - AUTO,25X,3500 MACARTHUR BLVD,Oakland,CA,"3500 MACARTHUR BLVD
Oakland, CA
(37.793628, -122.200518)"
,05/15/2020 11:21:00 AM,20-024222,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,31Y,9800 KOFORD ROAD,Oakland,CA,"9800 KOFORD ROAD
Oakland, CA
(37.730143, -122.191427)"
STOLEN VEHICLE,02/16/2020 10:00:00 PM,20-009265,VEHICLE THEFT - AUTO,17Y,2500 IVY DR,Oakland,CA,"2500 IVY DR
Oakland, CA
(37.801519, -122.241941)"
,03/15/2020 04:10:00 PM,20-014670,VEHICLE THEFT - AUTO,30X,1700 79TH AV,Oakland,CA,"1700 79TH AV
Oakland, CA
(37.7594, -122.177621)"
BURG - AUTO,04/15/2020 03:00:00 AM,20-908577,BURGLARY-AUTO,17X,2000 9TH AV,Oakland,CA,"2000 9TH AV
Oakland, CA
(37.796861, -122.244895)"
ROBBERY,01/28/2020 11:00:00 PM,20-005886,ROBBERY-FIREARM,17X,400 E 19TH ST,Oakland,CA,"400 E 19TH ST
Oakland, CA
(37.799746, -122.250006)"
BURG - AUTO,02/05/2020 07:15:00 PM,20-904081,BURGLARY-AUTO,31Y,100 98TH AV,Oakland,CA,"100 98TH AV
Oakland, CA
(37.728129, -122.197428)"
MISDEMEANOR ASSAULT,03/02/2020 08:52:00 PM,20-012147,BATTERY,25X,4600 KAPHAN AV,Oakland,CA,"4600 KAPHAN AV
Oakland, CA
(37.789689, -122.185084)"
THREATS,05/03/2020 08:20:00 PM,20-022282,VANDALISM,24X,2100 40TH AV,Oakland,CA,"2100 40TH AV
Oakland, CA
(37.780063, -122.212155)"
BURG - AUTO,01/26/2020 11:30:00 PM,20-904828,BURGLARY-AUTO,04X,19TH ST & SAN PABLO AV,Oakland,CA,"19TH ST & SAN PABLO AV
Oakland, CA
(37.808797, -122.272637)"
VANDALISM,01/26/2020 09:40:00 PM,20-905074,VANDALISM,14X,500 GRAND AV,Oakland,CA,"500 GRAND AV
Oakland, CA
(37.808596, -122.251324)"
ROBBERY,03/30/2020 11:34:00 AM,20-016856,VANDALISM,08X,2900 BROADWAY,Oakland,CA,"2900 BROADWAY
Oakland, CA
(37.817422, -122.26293)"
,05/07/2020 05:00:00 PM,20-023093,VEHICLE THEFT - AUTO,23X,1800 40TH AV,Oakland,CA,"1800 40TH AV
Oakland, CA
(37.776702, -122.216297)"
GRAND THEFT,03/23/2000 04:00:00 PM,20-907616,THEFT,77X,3435-3491 ELM ST,Oakland,CA,"3435-3491 ELM ST
Oakland, CA
(37.822422, -122.265148)"
WEAPONS,04/16/2020 01:22:00 PM,20-019507,THEFT,26X,1200 47TH AV,Oakland,CA,"1200 47TH AV
Oakland, CA
(37.769777, -122.21213)"
DOMESTIC VIOLENCE,04/18/2020 07:14:00 AM,20-019754,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,07X,3600 MANDELA PKWY,Oakland,CA,"3600 MANDELA PKWY
Oakland, CA
(37.827326, -122.289221)"
,03/07/2020 06:30:00 AM,20-013124,THEFT,08X,200 29TH ST,Oakland,CA,"200 29TH ST
Oakland, CA
(37.816105, -122.258617)"
RECOVERED O/S STOLEN,04/20/2020 04:17:00 AM,20-020015,VEHICLE THEFT - AUTO,26Y,900 75TH AV,Oakland,CA,"900 75TH AV
Oakland, CA
(37.753642, -122.193109)"
NARCOTICS,04/13/2020 09:50:00 PM,20-019092,TRESPASS:OCCUPY PROPERTY W/O CONSENT,02X,1100 10TH ST,Oakland,CA,"1100 10TH ST
Oakland, CA
(37.806388, -122.286105)"
WEAPONS,04/14/2020 04:32:00 AM,20-019127,PROHIBITED POSSESS AMMUNITION OR RELOADED AMMUNITION,02X,7TH ST & MARKET ST,Oakland,CA,"7TH ST & MARKET ST
Oakland, CA
(37.802679, -122.282818)"
RECOVERED O/S STOLEN,04/10/2020 12:00:00 AM,20-019004,POSSESS NARCOTIC CONTROLLED SUBSTANCE,26X,HIGH ST & SAN LEANDRO ST,Oakland,CA,"HIGH ST & SAN LEANDRO ST
Oakland, CA
(37.770611, -122.217148)"
VANDALISM,03/24/2020 09:52:00 AM,20-015967,VANDALISM,29X,3800 DELMONT AV,Oakland,CA,"3800 DELMONT AV
Oakland, CA
(37.777656, -122.173983)"
BURG - AUTO,03/17/2020 09:00:00 AM,20-015463,BURGLARY-AUTO,01X,400 ALICE ST,Oakland,CA,"400 ALICE ST
Oakland, CA
(37.795777, -122.270599)"
,04/27/2020 05:55:00 PM,20-021295,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,04X,1900 BROADWAY,Oakland,CA,"1900 BROADWAY
Oakland, CA
(37.808414, -122.26861)"
VANDALISM,02/20/2020 09:00:00 AM,20-905881,VANDALISM,25X,3600 HIGH ST,Oakland,CA,"3600 HIGH ST
Oakland, CA
(37.787311, -122.194767)"
FORGERY & COUNTERFEITING,04/27/2020 12:05:00 AM,20-909391,MAIL/ETC THEFT/ETC,19X,1200 4TH AV,Oakland,CA,"1200 4TH AV
Oakland, CA
(37.7958, -122.255624)"
PETTY THEFT,03/08/2020 05:12:00 PM,20-013228,THEFT,01X,100 BROADWAY,Oakland,CA,"100 BROADWAY
Oakland, CA
(37.795397, -122.276703)"
RECOVERED O/S STOLEN,04/20/2020 04:15:00 PM,20-020114,VEHICLE THEFT - AUTO,31Y,500 DOUGLAS AV,Oakland,CA,"500 DOUGLAS AV
Oakland, CA
(37.732326, -122.181669)"
,03/14/2020 11:20:00 AM,20-014417,VEHICLE THEFT - AUTO,07X,1700 24TH ST,Oakland,CA,"1700 24TH ST
Oakland, CA
(37.819563, -122.290915)"
BURG - COMMERCIAL,02/05/2020 05:45:00 AM,20-006939,BURGLARY-FORCIBLE ENTRY,12X,4000 BROADWAY,Oakland,CA,"4000 BROADWAY
Oakland, CA
(37.827697, -122.256531)"
VANDALISM,04/08/2020 09:10:00 AM,20-908205,VANDALISM,21X,2600 GRANDE VISTA AV,Oakland,CA,"2600 GRANDE VISTA AV
Oakland, CA
(37.79168, -122.226614)"
FELONY ASSAULT,03/20/2020 05:00:00 PM,20-015524,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,19X,1200 11TH AV,Oakland,CA,"1200 11TH AV
Oakland, CA
(37.790782, -122.249633)"
,03/08/2020 04:50:00 PM,20-013740,DISTURB THE PEACE,18X,1900 22ND AV,Oakland,CA,"1900 22ND AV
Oakland, CA
(37.788044, -122.234585)"
BURG - AUTO,04/08/2020 08:30:00 AM,20-908223,BURGLARY-AUTO,35Y,11100 SUN VALLEY DR,Oakland,CA,"11100 SUN VALLEY DR
Oakland, CA
(37.752791, -122.119187)"
ROBBERY,04/17/2020 09:03:00 AM,20-019610,CARRY LOADED FIREARM ON/IN PERSON/VEH: PUBLIC PLACE,22X,3400 FRUITVALE AV,Oakland,CA,"3400 FRUITVALE AV
Oakland, CA
(37.799279, -122.216563)"
MISDEMEANOR ASSAULT,04/12/2020 09:18:00 PM,20-018932,DAMAGE/DESTROY ANY WIRELESS COMMUNICATION DEVICE,18Y,2200 19TH AV,Oakland,CA,"2200 19TH AV
Oakland, CA
(37.79243, -122.235281)"
,03/13/2020 03:59:00 PM,20-014290,THEFT,12X,5000 TELEGRAPH AV,Oakland,CA,"5000 TELEGRAPH AV
Oakland, CA
(37.83653, -122.262463)"
BURG - AUTO,02/21/2020 09:00:00 PM,20-905328,BURGLARY-AUTO,14Y,3400 LAKESHORE AV,Oakland,CA,"3400 LAKESHORE AV
Oakland, CA
(37.811141, -122.242904)"
BURG - RESIDENTIAL,04/27/2020 01:15:00 AM,20-909380,BURGLARY-FORCIBLE ENTRY,03X,400 7TH ST,Oakland,CA,"400 7TH ST
Oakland, CA
(37.799026, -122.272977)"
STOLEN VEHICLE,04/15/2020 11:15:00 AM,20-908588,ATTEMPT VEHICLE THEFT-AUTO,17X,2000 11TH AV,Oakland,CA,"2000 11TH AV
Oakland, CA
(37.795298, -122.243326)"
BURG - AUTO,02/04/2020 05:30:00 PM,20-904054,BURGLARY-AUTO,03Y,500 9TH ST,Oakland,CA,"500 9TH ST
Oakland, CA
(37.801392, -122.27468)"
,03/02/2020 08:00:00 PM,20-012171,BURGLARY-FORCIBLE ENTRY,12X,5000 SHATTUCK AV,Oakland,CA,"5000 SHATTUCK AV
Oakland, CA
(37.836896, -122.264048)"
FORGERY & COUNTERFEITING,01/08/2020 12:00:00 AM,20-908581,FORGERY,11X,6000 SHATTUCK AV,Oakland,CA,"6000 SHATTUCK AV
Oakland, CA
(37.845873, -122.265246)"
BURG - AUTO,04/13/2020 03:05:00 AM,20-908504,BURGLARY-AUTO,13Y,6000 SKYLINE BLVD,Oakland,CA,"6000 SKYLINE BLVD
Oakland, CA
(37.852697, -122.212598)"
,04/23/2020 10:00:00 PM,20-020753,VEHICLE THEFT - AUTO,10X,1000 BLOCK OF 53RD ST,Oakland,CA,"1000 BLOCK OF 53RD ST
Oakland, CA
(37.837547, -122.277663)"
BURG - AUTO,02/05/2020 06:20:00 PM,20-904079,BURGLARY-AUTO,12X,400 48TH ST,Oakland,CA,"400 48TH ST
Oakland, CA
(37.834326, -122.258959)"
BURG - RESIDENTIAL,02/17/2020 11:15:00 PM,20-009413,BURGLARY-FORCIBLE ENTRY,15X,500 HADDON RD,Oakland,CA,"500 HADDON RD
Oakland, CA
(37.804026, -122.246618)"
ROBBERY,03/30/2020 11:21:00 PM,20-016962,CARJACKING - STRONGARM,22Y,3000 MACARTHUR BLVD,Oakland,CA,"3000 MACARTHUR BLVD
Oakland, CA
(37.797333, -122.204823)"
GRAND THEFT,04/08/2020 09:11:00 AM,20-908282,MAIL/ETC THEFT/ETC,01X,100 4TH ST,Oakland,CA,"100 4TH ST
Oakland, CA
(37.794197, -122.267262)"
FELONY ASSAULT,04/09/2020 01:06:00 AM,20-018394,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,06X,800 BROCKHURST ST,Oakland,CA,"800 BROCKHURST ST
Oakland, CA
(37.82275, -122.273616)"
VANDALISM,04/10/2020 04:17:00 AM,20-908327,VANDALISM,14X,300 WARWICK AV,Oakland,CA,"300 WARWICK AV
Oakland, CA
(37.812554, -122.255506)"
,04/28/2020 02:40:00 AM,20-021364,CARJACKING - STRONGARM,33X,800 81ST AV,Oakland,CA,"800 81ST AV
Oakland, CA
(37.750269, -122.191379)"
STOLEN VEHICLE,03/10/2020 12:00:00 PM,20-014028,VEHICLE THEFT - AUTO,14X,200 LEE ST,Oakland,CA,"200 LEE ST
Oakland, CA
(37.813509, -122.258949)"
DOMESTIC VIOLENCE,03/10/2020 02:20:00 PM,20-013647,VANDALISM,30Y,2800 82ND AV,Oakland,CA,"2800 82ND AV
Oakland, CA
(37.762727, -122.164835)"
